happy,1
https://www.youtube.com/results?search_query=ellen+monologue,Ellen shows
https://www.youtube.com/results?search_query=superwoman+funny,SuperWoman
https://www.youtube.com/results?search_query=mostlysane,MostlySane
https://www.youtube.com/results?search_query=ryan+higa,RyanHiga
https://www.youtube.com/results?search_query=bb+ki+vines,BB ki Vines
anger,2
https://www.youtube.com/results?search_query=soothing+videos,Sooth yourself
https://www.youtube.com/results?search_query=why+you+should+not+be+angry,Manage Anger
https://www.youtube.com/results?search_query=beat+the+boss,Beat The Boss
https://www.youtube.com/results?search_query=overcoming+anger,Overcome The anger
https://www.youtube.com/results?search_query=soothing+gameplay,WatchGameplays!
sad,3
https://www.youtube.com/results?search_query=tedx+talks+motivation,tedx
https://www.youtube.com/results?search_query=superwoman+motivation,superwoman
https://www.youtube.com/results?search_query=the+secret,the secret
https://www.youtube.com/results?search_query=oprah+winfrey+motivation,oprah winfrey
https://www.youtube.com/results?search_query=motivational+short+film,films
fear,4
https://www.youtube.com/results?search_query=videos+to+overcome+fear,Rid the fear
https://www.youtube.com/channel/UCf9_s9ii6BZ-klpgmtIi3WQ,Team Fearless
https://www.youtube.com/results?search_query=motivational+speeches+for+success,Feel Success
https://www.youtube.com/results?search_query=overcoming+fear,Over Come The Fear
https://www.youtube.com/results?search_query=fear+of+great+personalities,Success Insider
neutral,5
https://www.youtube.com/feed/trending,WatchTrending
https://www.youtube.com/feed/subscriptions,VisitSubscriptions
https://www.youtube.com/playlist?list=WL,WatchLater
https://www.youtube.com/playlist?list=LLo1P7wme7bI1jS8KHkN2USQ,LikedVideos
https://www.youtube.com/results?search_query=latest+trailers,WatchTrailers
